
date_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
tag: mobile2_emore_v1
pretrain: 
per_batch_size: 128
save: 1, max_steps: 350000, lr: 0.10000, verbose: 1000, margin_a: 1.00, margin_m: 0.30, margin_b: 0.20

version_se: 0
do_save: True
verbose: 1000
cutoff: 0
version_input: 1
rand_mirror: 1
emb_size: 512
ckpt: 1
tag: mobile2_emore_v1
num_layers: 2
use_deformable: 0
config_dir: /home/meiyiyang/Face/insightface/output/config
ctx_num: 4
do_save_threshold: 0.99
scale: 0.9993
data_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
network: m2
margin_s: 64.0
center_alpha: 0.5
version_act: prelu
result_dir: /home/meiyiyang/Face/insightface/output/result
beta_freeze: 0
lr: 0.1
triplet_bag_size: 3600
margin_m: 0.3
num_classes: 85742
end_epoch: 100000
margin_a: 1.0
triplet_max_ap: 0.0
lr_steps: 
log_dir: /home/meiyiyang/Face/insightface/output/log
last_epoch: 0
loss_type: 4
wd: 0.0005
power: 1.0
version_unit: 3
batch_size: 512
beta: 1000.0
mom: 0.9
margin_b: 0.2
triplet_alpha: 0.3
easy_margin: 0
version_output: E
image_channel: 3
gamma: 0.12
target: lfw,classify_megaface
image_w: 112
rescale_threshold: 0
images_per_identity: 0
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
fc7_wd_mult: 1.0
per_batch_size: 128
beta_min: 5.0
center_scale: 0.003
pretrained: 
fine_tune: 0
image_h: 112
max_steps: 350000
margin: 4
bn_mom: 0.9

20181026-211202	59000	59	0.1000	lfw	0.98633	0.00653	0.93067	0.01731	classify_megaface	0.86908	0.00000	0.00000	0.00000	
20181026-212256	60000	60	0.1000	lfw	0.98183	0.00550	0.92833	0.01352	classify_megaface	0.83620	0.00000	0.00000	0.00000	
20181026-213346	61000	61	0.1000	lfw	0.98583	0.00616	0.94367	0.01524	classify_megaface	0.86265	0.00000	0.00000	0.00000	
20181026-214437	62000	62	0.1000	lfw	0.98067	0.00655	0.92867	0.02040	classify_megaface	0.85122	0.00000	0.00000	0.00000	
20181026-220017	63000	63	0.1000	lfw	0.98417	0.00616	0.94567	0.02066	classify_megaface	0.85057	0.00000	0.00000	0.00000	
20181026-224402	64000	64	0.1000	lfw	0.98667	0.00723	0.93567	0.02399	classify_megaface	0.87175	0.00000	0.00000	0.00000	
20181026-230141	65000	65	0.1000	lfw	0.98167	0.00441	0.92700	0.01986	classify_megaface	0.86114	0.00000	0.00000	0.00000	
20181026-231944	66000	66	0.1000	lfw	0.98417	0.00539	0.94000	0.02440	classify_megaface	0.86386	0.00000	0.00000	0.00000	
20181026-233132	67000	67	0.1000	lfw	0.98217	0.00548	0.93200	0.02281	classify_megaface	0.83529	0.00000	0.00000	0.00000	
20181026-234729	68000	68	0.1000	lfw	0.98300	0.00567	0.94100	0.01856	classify_megaface	0.85608	0.00000	0.00000	0.00000	
20181026-235929	69000	69	0.1000	lfw	0.98133	0.00526	0.93767	0.02033	classify_megaface	0.84374	0.00000	0.00000	0.00000	
20181027-000925	70000	70	0.1000	lfw	0.98233	0.00633	0.94967	0.01449	classify_megaface	0.84779	0.00000	0.00000	0.00000	
20181027-001922	71000	71	0.1000	lfw	0.98333	0.00537	0.93467	0.02409	classify_megaface	0.84776	0.00000	0.00000	0.00000	
20181027-002919	72000	72	0.1000	lfw	0.98217	0.00511	0.92667	0.02119	classify_megaface	0.85327	0.00000	0.00000	0.00000	
20181027-003916	73000	73	0.1000	lfw	0.98600	0.00667	0.94367	0.02126	classify_megaface	0.87383	0.00000	0.00000	0.00000	
20181027-004918	74000	74	0.1000	lfw	0.97833	0.00553	0.92000	0.02761	classify_megaface	0.80039	0.00000	0.00000	0.00000	
20181027-005920	75000	75	0.1000	lfw	0.98600	0.00549	0.95267	0.01459	classify_megaface	0.86362	0.00000	0.00000	0.00000	
20181027-010924	76000	76	0.1000	lfw	0.98400	0.00624	0.94267	0.02205	classify_megaface	0.86153	0.00000	0.00000	0.00000	
20181027-011919	77000	77	0.1000	lfw	0.98733	0.00473	0.94667	0.02150	classify_megaface	0.87388	0.00000	0.00000	0.00000	
20181027-012915	78000	78	0.1000	lfw	0.98450	0.00568	0.94367	0.02052	classify_megaface	0.85912	0.00000	0.00000	0.00000	
20181027-013911	79000	79	0.1000	lfw	0.98250	0.00620	0.90267	0.02691	classify_megaface	0.83336	0.00000	0.00000	0.00000	
20181027-014913	80000	80	0.1000	lfw	0.98233	0.00638	0.90833	0.02344	classify_megaface	0.84818	0.00000	0.00000	0.00000	
20181027-015909	81000	81	0.1000	lfw	0.98650	0.00519	0.95033	0.01986	classify_megaface	0.86284	0.00000	0.00000	0.00000	
20181027-020910	82000	82	0.1000	lfw	0.98167	0.00645	0.94133	0.01851	classify_megaface	0.84813	0.00000	0.00000	0.00000	
20181027-021905	83000	83	0.1000	lfw	0.98383	0.00601	0.94067	0.01451	classify_megaface	0.84742	0.00000	0.00000	0.00000	
20181027-022906	84000	84	0.1000	lfw	0.98600	0.00429	0.94500	0.02242	classify_megaface	0.85988	0.00000	0.00000	0.00000	
20181027-023905	85000	85	0.1000	lfw	0.97950	0.00527	0.92433	0.02028	classify_megaface	0.83543	0.00000	0.00000	0.00000	
20181027-024900	86000	86	0.1000	lfw	0.98217	0.00671	0.94667	0.01556	classify_megaface	0.86545	0.00000	0.00000	0.00000	
